track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
No Type,Rae Sremmurd,False,,,,,,,,,,,,,
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,False,,,,,,,,,,,,,
BEBE,6ix9ine,False,,,,,,,,,,,,,
I'm a Mess,Ed Sheeran,False,,,,,,,,,,,,,
Higher,Creed,False,,,,,,,,,,,,,
Mother,Danzig,False,,,,,,,,,,,,,
Gorilla,Bruno Mars,False,,,,,,,,,,,,,
Forever,Drake,False,,,,,,,,,,,,,
When I Look At You,Miley Cyrus,False,,,,,,,,,,,,,
Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,False,,,,,,,,,,,,,
Genius of Love,Tom Tom Club,False,,,,,,,,,,,,,
Come Get It Bae,Pharrell Williams,False,,,,,,,,,,,,,
The Fighter (feat. Ryan Tedder),Gym Class Heroes,False,,,,,,,,,,,,,
Get Low,Dillon Francis,False,,,,,,,,,,,,,
Save My Night,Armin van Buuren,False,,,,,,,,,,,,,
Shake Me Down,Cage The Elephant,False,,,,,,,,,,,,,
Pyro,Kings of Leon,False,,,,,,,,,,,,,
Ocean Breathes Salty,Modest Mouse,False,,,,,,,,,,,,,
Matilda,alt-J,False,,,,,,,,,,,,,
Something Good Can Work,Two Door Cinema Club,False,,,,,,,,,,,,,
Baby Lee,John Lee Hooker,False,,,,,,,,,,,,,
Stranger (feat. Mikky Ekko),Chris Malinchak,False,,,,,,,,,,,,,
Aerodynamic,Daft Punk,False,,,,,,,,,,,,,
Power Glove,Knife Party,False,,,,,,,,,,,,,
Hands Down,Dashboard Confessional,False,,,,,,,,,,,,,
Red Flag,Billy Talent,False,,,,,,,,,,,,,
Winter Winds,Mumford & Sons,False,,,,,,,,,,,,,
Pardon Me,Incubus,False,,,,,,,,,,,,,
Letting the Cables Sleep,Bush,False,,,,,,,,,,,,,
Don't Quit (feat. Travis Scott & Jeremih),DJ Khaled,False,,,,,,,,,,,,,
Ball For Me (feat. Nicki Minaj),Post Malone,False,,,,,,,,,,,,,
PASS OUT (feat. 21 Savage),Quavo,False,,,,,,,,,,,,,
All My Friends,LCD Soundsystem,False,,,,,,,,,,,,,
Ritual Union,Little Dragon,False,,,,,,,,,,,,,
